origin,dest,distance
-122.310145447.6152775,-122.309878647.6152784,0.095349465
-122.308841247.6152791,-122.308132747.6152859,0.268941421
-122.304895747.615292,-122.303602147.6153067,0.00116951
-122.307452547.6152872,-122.306207647.6152895,0.622459331
-122.306207647.6152895,-122.304895747.615292,0.0000583
-122.302634247.6153051,-122.301389647.6153015,0.777299861
-122.298791847.6153029,-122.298120147.6152967,0.02297737
-122.297484947.6152975,-122.2968547.6152946,0.00000479
-122.296180247.615295,-122.2961645349147.6152948413476,0.000158
-122.300093847.6153065,-122.299396247.6153077,0.037326887
-122.301389647.6153015,-122.300755747.6152981,0.000203
-122.30264740632747.6153051218308,-122.302634247.6153051,0.99883049
-122.291344547.6164381,-122.29028847.6165053,4.14E-08
-122.29616107848147.6164536668509,-122.2955347.6164516,0.000013
-122.294853247.6164452,-122.294218547.6164474,0.00000373
-122.292401647.6164415,-122.291344547.6164381,8.76E-08
-122.293549647.6164452,-122.292401647.6164415,0.000911
-122.289217447.6165019,-122.288114647.6164983,0.0000354
-122.29028847.6165053,-122.289217447.6165019,0.000000113
-122.302596647.6164731,-122.301369247.6164743,0.985936373
-122.300075747.616461,-122.299394647.6164678,0.622459331
-122.296171247.6164537,-122.29616107848147.6164536668509,0.904650535
-122.297462647.6164579,-122.296824747.6164558,0.777299861
-122.298751647.6164554,-122.298085647.6164611,0.222700139
-122.301369247.6164743,-122.300769647.6164734,0.377540669
-122.291990947.6224884,-122.291971147.6235879,0.010986943
-122.291969747.6236499,-122.291966747.6237393,0.0000275
-122.292023147.621326,-122.291995847.6223103,0.998073265
-122.29621421388347.6129476453135,-122.296201947.6129477,0.222700139
-122.301439247.6129411,-122.300537347.6129418,0.377540669
-122.298813947.612943,-122.298485747.6129427,0.000000113
-122.297507947.6129419,-122.29621421388347.6129476453135,0.0000167
-122.300094147.6129422,-122.298813947.612943,0.377540669
-122.303654447.612927,-122.30307147.612936,0.999998629
-122.30270674450147.612941558122,-122.30270447.6129416,0.99883049
-122.291436547.6129189,-122.291337347.6129183,0.970687769
-122.289308747.6140642,-122.289294747.6144456,0.029312231
-122.289217447.6165019,-122.289210547.6167382,7.19E-09
-122.289266347.6152239,-122.289225147.616301,0.000000144
-122.289183947.6176413,-122.289182847.6177125,0.010986943
-122.296101147.6201801,-122.296109147.6213456,0.000000238
-122.296109147.6213456,-122.296159347.6216091,0.00000479
-122.296121547.6189053,-122.296104647.6199596,0.005220126
-122.308811347.6185112,-122.308196847.6185078,0.999903898
-122.31008747.6185175,-122.30948547.6185145,0.997527377
-122.307408747.6185035,-122.306744947.6185036,0.999841564
-122.30609647.6185046,-122.305443947.6184999,0.991422515
-122.308865347.6115414,-122.308199947.6115403,0.000911
-122.310167447.6115459,-122.309510447.6115431,0.119202922
-122.306021947.6232103,-122.306018247.6235469,0.005220126
-122.306052147.6218708,-122.306044447.6224483,0.989013057
-122.305984147.624415,-122.306001147.6251111,0.000158
-122.293510947.6188834,-122.293419547.618883,0.000335
-122.292345847.6188787,-122.29127815557447.6188773164008,3.10E-12
-122.294827347.6188939,-122.29417147.6188841,0.02297737
-122.29585047223347.6189026609352,-122.295474547.618899,0.0000167
-122.296121547.6189053,-122.29611699393247.6189052561233,0.014063627
-122.306157547.617266,-122.3061576558447.6172515588241,0.999841564
-122.3061576558447.6172515588241,-122.306158747.6171548,0.999841564
-122.306158747.6171548,-122.306160547.6169872,0.999841564
-122.30609647.6185046,-122.306125247.6173837,0.99999824
-122.304880447.617125,-122.304468747.6171217,0.993307149
-122.305829747.6171284,-122.304880447.617125,0.817574476
-122.303625547.6171147,-122.30259628115847.6171132301073,0.99966465
-122.30259628115847.6171132301073,-122.302575247.6171132,0.989013057
-122.306040947.6171063,-122.305957147.6171176,0.99966465
-122.306160547.6169872,-122.306101447.6170689,0.999841564
-122.301195147.6202105,-122.30102847.6202099,0.989013057
-122.296194847.6234769,-122.296123847.6235248,0.97702263
-122.296414947.6233284,-122.296194847.6234769,0.997527377
-122.295459747.6239727,-122.295218447.6241354,0.93991335
-122.295092247.6242221,-122.295054847.6242475,0.93991335
