origin,dest,distance
-122.288159247.5352283,-122.288165547.5344315,0
-122.288834647.5570482,-122.288839447.5566236,0
-122.288825147.5586697,-122.288825547.558599,0
-122.28881347.5607269,-122.288815847.5602512,3
-122.288829947.5578584,-122.288832247.5574616,0
-122.289436247.555127,-122.289440947.5546975,1
-122.288839447.5566236,-122.289116647.5564426,1
-122.288816947.5628394,-122.28881347.5607269,3
-122.287738247.5994484,-122.287745747.5991314,2
-122.288579647.5378881,-122.288577447.5369452,0
-122.287975947.5911716,-122.287957547.5912325,2
-122.300364847.7051177,-122.298849647.7051223,0
-122.315009347.7053746,-122.314093447.7051091,0
-122.39864547.5838447,-122.398853447.5839501,2
-122.398387147.5833496,-122.398381647.5834736,2
-122.389180747.5830114,-122.389876747.5830069,0
-122.390566647.5830084,-122.391230547.5830071,0
-122.387791347.5830069,-122.388324347.5830119,0
-122.385106947.5830085,-122.385756147.5830208,0
-122.383842447.5829938,-122.384477547.5830025,0
-122.386437447.58302,-122.387103147.5830162,0
-122.382741347.5834686,-122.383814947.583473,0
-122.403552847.661319,-122.402742947.6613097,0
-122.402388647.6585354,-122.402448647.6588614,7
-122.402316647.6580748,-122.402457447.6584202,2
-122.401617347.6375282,-122.402068447.637932,1
-122.401190447.6359019,-122.401182847.6363845,1
-122.402068447.637932,-122.402175947.6380269,0
-122.400989747.6343789,-122.401094247.6347576,0
-122.356885847.6441209,-122.357558247.6441203,1
-122.367549347.6442866,-122.368890347.6442849,1
-122.368890347.6442849,-122.370196447.6442896,1
-122.36221447.6440904,-122.360910547.644095,0
-122.379728247.7028555,-122.379430847.7030461,0
-122.381381447.702828,-122.381092147.7029211,0
-122.381971447.7017606,-122.38208647.7018775,0
-122.382107547.7023552,-122.381381447.702828,0
-122.388788647.6594638,-122.389337847.6594648,0
-122.387466847.6594613,-122.388112747.6594625,0
-122.385944947.6594584,-122.386763847.65946,1
-122.393927447.6595133,-122.394974347.6595073,2
-122.393162847.6591735,-122.393927447.6595133,1
-122.392880247.6590351,-122.393162847.6591735,0
-122.394974547.6600543,-122.396079447.6600671,1
-122.396079447.6600671,-122.397144347.66007,0
-122.397144347.66007,-122.397631847.6600713,0
-122.318097247.6043662,-122.318099347.6052058,1
-122.318099347.6052058,-122.318101247.6062098,3
-122.318094947.6035228,-122.318097247.6043662,1
-122.318097747.6026945,-122.31809547.6035003,2
-122.3181429519288547.612918770523066,-122.318146147.6124478,0
-122.318142847.6129415,-122.3181429519288547.612918770523066,0
-122.316872947.6164392,-122.316208347.6164413,0
-122.318179147.6164294,-122.316872947.6164392,0
-122.315545147.6164428,-122.314226647.6164498,1
-122.312800747.6164481,-122.3127613112961647.61644820159001,0
-122.314226647.6164498,-122.312800747.6164481,1
-122.311452947.6164535,-122.310792447.6164514,0
-122.31013347.6164493,-122.309500947.6164515,0
-122.3127613112961647.61644820159001,-122.312102847.6164499,0
-122.3267947.6163559,-122.326180847.6163566,0
-122.324483347.6163584,-122.323529347.6163594,0
-122.325538247.6163572,-122.324483347.6163584,0
-122.323432747.6163758,-122.323379947.6163916,0
-122.285940847.6164632,-122.285231747.6164648,3
-122.282608347.6164747,-122.282325747.6164335,1
-122.283236447.6164685,-122.282608347.6164747,1
-122.28457547.6164657,-122.283236447.6164685,0
-122.285231747.6164648,-122.28457547.6164657,2
-122.3061490534472147.61725515054857,-122.306157547.617266,0
-122.305829747.6171284,-122.305966447.6171369,0
-122.31442147.6416424,-122.314383147.6417534,0
-122.314699847.6409811,-122.314600547.6412242,0
-122.407585447.569058,-122.407266747.5688079,2
-122.282659247.6176767,-122.282612947.6177432,1
-122.282508947.6189483,-122.282522347.6190529,1
-122.282711447.6326205,-122.282714147.6333836,0
-122.282702147.6345984,-122.282693847.6358116,0
-122.282701147.6309603,-122.282701947.632162,0
-122.282701947.632162,-122.282711447.6326205,0
-122.2827011811749447.63095420548712,-122.282701147.6309603,0
-122.282693847.6358116,-122.282701247.6369832,3
-122.28292747.6272523,-122.282810447.6273319,0
-122.28271747.6297684,-122.282713847.6300068,0
-122.282726947.6285461,-122.282726847.6285621,0
-122.28237947.6265352,-122.282524547.626724,1
-122.282920247.638078,-122.282899847.6399954,1
-122.282859647.6407556,-122.282816747.6413157,0
-122.348229147.6120713,-122.348151547.6121303,4
-122.31955247.6640182,-122.319466947.664017,1
-122.288222247.6635763,-122.287676247.6635364,1
-122.287133647.6634967,-122.286552847.6634493,0
-122.289237947.663582,-122.288774847.6635795,0
-122.332922647.6145306,-122.332864947.6144653,1
-122.322791947.603423,-122.323754447.6044722,3
-122.322146547.6027128,-122.322200147.602768,2
-122.375163147.5737138,-122.375523147.5737118,0
-122.374739147.5737505,-122.374772447.57375,0
-122.37149547.57371,-122.372218247.5737015,0
-122.372218247.5737015,-122.372574747.5736964,0
-122.383288147.5931152,-122.383887347.5930048,1
-122.336535447.6017194,-122.336471747.6017321,1
-122.389749947.6503286,-122.389845147.6503288,1
-122.390863547.6503579,-122.390899647.6503771,1
-122.391565747.6504096,-122.392223447.650411,0
-122.394199147.650457,-122.394911447.6504578,0
-122.392896547.6504479,-122.393016847.6504637,0
-122.360866247.6504138,-122.361027547.6504119,0
-122.368844247.65047,-122.369868647.6504741,3
-122.367474147.6504435,-122.368844247.65047,6
-122.369868647.6504741,-122.37018147.6504803,1
-122.37018147.6504803,-122.370824847.6504806,1
-122.366238147.6504536,-122.366781847.6504492,1
-122.366990247.6504475,-122.367474147.6504435,3
-122.363561647.6504526,-122.363626247.6504552,0
-122.365065347.6504494,-122.365128147.6504519,0
-122.364842747.6504514,-122.365065347.6504494,0
-122.382044847.650374,-122.382708447.6503751,2
-122.384678947.6503622,-122.385324247.6503599,5
-122.38338547.6503669,-122.38400747.6503742,6
-122.385951647.6503576,-122.386686647.6503666,2
-122.388599147.650348,-122.388994947.6503468,0
-122.387421847.6503523,-122.387979947.6503503,1
-122.398239947.650453,-122.398901147.6504543,1
-122.402296947.6504502,-122.402957947.6504573,1
-122.399542647.6504495,-122.400207347.6504516,0
-122.400923847.6504509,-122.401646547.6504509,1
-122.396899847.6504505,-122.397575847.6504517,1
-122.40683447.6504707,-122.407898247.6504707,0
-122.404677747.6504576,-122.405660147.6504563,0
-122.405760747.6504618,-122.405806547.6504666,0
-122.407898247.6504707,-122.408980647.6504714,0
-122.411970647.6504442,-122.413131547.650441,1
-122.413131547.650441,-122.414197747.650467,1
-122.414197747.650467,-122.415059547.6504746,0
-122.410756747.6504509,-122.410928347.65045,0
-122.40956547.6504604,-122.410756747.6504509,0
-122.408980647.6504714,-122.409433947.65047,0
-122.283739147.5242786,-122.283742747.5230235,4
-122.283721347.5261178,-122.283721547.5260141,3
-122.283868947.52194,-122.28400447.5218643,1
-122.283491547.5554796,-122.283491847.5550429,9
-122.283466547.5519705,-122.283454547.5516132,0
-122.283490447.5534192,-122.283478747.5527132,0
-122.283478747.5527132,-122.283466547.5519705,0
-122.28344747.5512108,-122.283437147.5504804,1
-122.283905747.566199,-122.2838980015765747.56413292311906,0
-122.283948647.5679496,-122.283905747.566199,0
-122.283950147.5706954,-122.283956847.5697861,0
-122.283956847.5697861,-122.283948647.5679496,0
-122.283875747.562841,-122.283821147.5617876,4
-122.28389847.5641325,-122.283875747.562841,3
-122.2838980015765747.56413292311906,-122.28389847.5641325,0
-122.2832057765597547.531536742311474,-122.283193947.5314704,1
-122.283209647.5315581,-122.2832057765597547.531536742311474,1
-122.283433247.5602663,-122.283476247.5601945,1
-122.283397347.5370347,-122.283393347.536187,0
-122.283411547.5388991,-122.283406547.5381719,0
-122.282377147.5361969,-122.282890447.5361919,0
-122.281981947.5362007,-122.282377147.5361969,0
-122.28095147.5362026,-122.281465547.5362011,1
-122.378033547.7069232,-122.37770247.7072194,0
-122.328336447.6868372,-122.327997747.6868342,0
-122.300873947.6866706,-122.298942647.6866701,0
-122.3008766251121747.6866706110547,-122.300873947.6866706,0
-122.302274247.6866693,-122.301933947.6866749,0
-122.301933947.6866749,-122.3008766251121747.6866706110547,0
-122.308960647.6455959,-122.309025847.6456775,0
-122.390319647.5902653,-122.3903197331140447.59025080221635,0
-122.39075347.5775132,-122.390782147.5756631,3
-122.390628947.5812428,-122.390691447.5793448,0
-122.390522447.5840455,-122.390566647.5830084,1
-122.3904847.5854413,-122.390522447.5840455,1
-122.390376347.5881116,-122.390426147.5868364,2
-122.3903197331140447.59025080221635,-122.390327647.589394,0
-122.390327647.589394,-122.390376347.5881116,2
-122.390426147.5868364,-122.3904847.5854413,0
-122.390566647.5830084,-122.390628947.5812428,0
-122.390691447.5793448,-122.39075347.5775132,0
-122.390782147.5756631,-122.390801947.5738829,4
-122.390789147.5720742,-122.390804847.5702598,0
-122.406812225294147.654081656002965,-122.406812347.6540976,0
-122.40683447.6504707,-122.406803847.6522835,5
-122.406803847.6522835,-122.406812225294147.654081656002965,0
-122.40683147.6494935,-122.406829147.6498546,0
-122.406932447.6472626,-122.406934547.6477069,0
-122.40683247.6480078,-122.40683347.6482913,0
-122.406909947.6463133,-122.406932447.6472626,1
-122.407272547.642292,-122.407134247.6430266,0
-122.407277347.6420558,-122.407272547.642292,0
-122.407100847.6449967,-122.407076247.6459545,0
-122.40683147.648633,-122.40683147.6494935,0
-122.35739147.6186299,-122.357443947.618661,5
-122.277054747.5226074,-122.27706747.5225375,0
-122.277036247.5233161,-122.27704647.5228599,1
-122.320779147.6016961,-122.320778447.6017771,1
-122.282608347.6164747,-122.282572147.6175281,1
-122.282668547.6152369,-122.28262347.6154859,1
-122.2826116170186947.61761454824781,-122.282659247.6176767,0
-122.289531347.6261737,-122.289205247.6261728,0
-122.288198447.6261699,-122.287517147.6261679,0
-122.29644247.625895,-122.295637747.6258894,1
-122.298735647.6259012,-122.29644247.625895,0
-122.301126847.6259287,-122.298735647.6259012,1
-122.302414547.6259382,-122.301126847.6259287,1
-122.314614547.6260848,-122.3125838361626247.62606422771956,1
-122.3125838361626247.62606422771956,-122.312581147.6260642,0
-122.39798947.578225,-122.398075547.5782399,0
-122.382330747.5783313,-122.382659947.5783359,0
-122.381305647.5783169,-122.381827847.5783242,0
-122.279502747.713196,-122.279777447.7137101,0
-122.282309347.7165005,-122.282266347.7165866,0
-122.281174647.7149666,-122.281354747.7152406,0
-122.278638947.7112269,-122.279116247.712422,0
-122.275647147.7045757,-122.276042147.7055581,0
-122.276818247.707545,-122.27774247.7094455,0
-122.27774247.7094455,-122.278638947.7112269,0
-122.276142547.7060401,-122.276818247.707545,0
-122.276042147.7055581,-122.276142547.7060401,0
-122.285338147.6082016,-122.284747547.6086398,4
-122.313127847.6757999,-122.313142847.6765006,2
-122.313098347.6744996,-122.313107447.6749072,2
-122.31387947.7067194,-122.313803347.7067575,0
-122.313931147.7062859,-122.31387947.7067194,0
-122.313792747.7085241,-122.3137927643381247.70853636445418,0
-122.313195247.6830499,-122.313223347.684746,0
-122.31321447.6794479,-122.313265347.6803413,0
-122.270408347.6771895,-122.269578847.6771918,0
-122.320107947.6773156,-122.317918747.6773017,0
-122.317402647.6772984,-122.316242147.6773007,0
-122.2881847.6767723,-122.287727247.6767635,0
-122.27191547.6910686,-122.271422447.691217,1
-122.311589647.5899797,-122.311612147.589368,2
-122.315471147.5944333,-122.315230747.5943936,2
-122.31232947.5916038,-122.311581647.5906344,0
-122.391043547.6613351,-122.391642447.6613371,1
-122.397136547.6613328,-122.398304647.6613221,0
-122.389815947.5906629,-122.389626747.5906604,0
-122.388618847.5906404,-122.388183747.5906319,0
-122.388868647.5906454,-122.388618847.5906404,0
-122.269884947.6612415,-122.269787647.6614832,1
-122.26998647.6600497,-122.269884947.6612415,1
-122.270225647.6595279,-122.270119947.6595958,0
-122.277022447.6906099,-122.27546547.690607,0
-122.271916647.690584,-122.271054847.6905865,0
-122.27470547.6906056,-122.272924947.6905918,0
-122.269569847.67938,-122.269606547.6821575,2
-122.270266647.6775994,-122.270303447.6793818,0
-122.2696433057951447.67574922295926,-122.269643647.6757553,0
-122.269333847.6746073,-122.269365447.6750178,0
-122.269508147.6734837,-122.269428747.6735347,0
-122.270474847.6676005,-122.270480147.6684948,1
-122.353198247.6323221,-122.352655747.632323,0
-122.351341847.6323245,-122.35087747.632325,0
-122.352655747.632323,-122.351341847.6323245,0
-122.345956447.6323134,-122.345147247.632314,0
-122.327942747.6242703,-122.327242547.6242694,0
-122.326578447.6242686,-122.32595947.6242682,0
-122.321980747.6242649,-122.3209547.6242631,1
-122.32530147.6242679,-122.324674647.6242672,0
-122.323037647.6242655,-122.321980747.6242649,0
-122.3240347.6242665,-122.323037647.6242655,1
-122.288188647.624988,-122.287533647.6249824,0
-122.290208947.6250006,-122.290107947.6250004,0
-122.289557147.6249996,-122.289234947.6249969,0
-122.293130747.6249564,-122.292563547.6249587,0
-122.293717847.624721,-122.293668447.6247664,1
-122.374095247.6868783,-122.374108647.6887309,1
-122.374083747.6850522,-122.374095247.6868783,0
-122.37408247.6832422,-122.374083747.6850522,1
-122.37407847.6778026,-122.374081847.6786654,0
